player_name,matches,innings_batted,runs_scored,balls_faced,strike_rate,average,fours,sixes,overs_bowled,balls_bowled,runs_conceded,wickets,economy,bowling_average
P Simran Singh,31,31,725,495,146.46,24.17,75,40,0,0,0,0,0,0
AM Rahane,31,31,709,533,133.02,23.63,63,27,0,0,0,0,0,0
C Green,29,28,707,472,149.79,41.59,62,32,74,462,675,16,8.77,42.19
AT Rayudu,36,36,689,520,132.5,23.76,51,41,0,0,0,0,0,0
TH David,35,35,659,417,158.03,29.95,38,46,0,0,0,0,0,0
PD Salt,21,21,653,385,169.61,34.37,74,34,0,0,0,0,0,0
KH Pandya,50,50,647,560,115.54,19.61,49,21,147,900,1114,30,7.43,37.13
R Tewatia,42,42,647,508,127.36,23.11,60,27,46,279,433,8,9.31,54.12
SP Narine,56,43,642,411,156.2,18.34,61,45,215,1316,1453,53,6.62,27.42
A Badoni,35,35,634,505,125.54,25.36,46,24,5,25,37,2,8.88,18.5
MS Dhoni,46,46,611,454,134.58,29.1,50,36,0,0,0,0,0,0
SM Curran,36,29,602,473,127.27,26.17,49,22,122,762,1251,35,9.85,35.74
MK Pandey,24,24,582,512,113.67,26.45,47,17,0,0,0,0,0,0
TM Head,15,15,567,307,184.69,40.5,64,32,2,10,32,0,19.2,0
M Shahrukh Khan,37,37,553,413,133.9,22.12,35,37,2,12,16,0,8.0,0
Shahbaz Ahmed,40,36,535,466,114.81,19.81,28,25,84,512,805,19,9.43,42.37
KS Williamson,24,25,513,512,100.2,28.5,50,10,0,0,0,0,0,0
Abdul Samad,32,32,466,340,137.06,19.42,29,30,2,12,17,1,8.5,17.0
V Shankar,26,26,461,362,127.35,20.95,36,20,13,82,115,3,8.41,38.33
MR Marsh,21,21,440,330,133.33,23.16,39,24,41,262,377,17,8.63,22.18
MK Lomror,29,29,440,311,141.48,18.33,28,27,12,76,100,1,7.89,100.0
JJ Roy,13,13,435,321,135.51,33.46,57,13,0,0,0,0,0,0
Shashank Singh,19,19,423,272,155.51,38.45,33,25,3,19,25,1,7.89,25.0
RR Rossouw,17,17,420,270,155.56,28.0,42,22,0,0,0,0,0,0
Rashid Khan,59,35,406,256,158.59,19.33,31,27,232,1404,1755,74,7.5,23.72
T Stubbs,17,17,405,239,169.46,45.0,26,26,4,25,29,4,6.96,7.25
KA Pollard,24,24,389,326,119.33,21.61,22,25,28,172,225,9,7.85,25.0
R Ashwin,57,34,388,314,123.57,18.48,26,17,216,1352,1679,42,7.45,39.98
KR Mayers,13,13,379,276,137.32,29.15,38,22,7,46,59,0,7.7,0
R Powell,22,22,360,254,141.73,18.95,21,28,3,21,35,1,10.0,35.0
